step,att_err_deg,ax,ay,az,sonar_range,map_depth,x,y,z,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,dr_x,dr_y,dr_z,dr_vx,dr_vy,dr_vz
1,0.12069896741436019,-0.011705151470693936,0.08130985179922044,-0.4547955766312146,64.4921568627451,-64.87816619873047,-20.0,-10.0,-0.42807958,-20.000037240551688,-9.999995243837905,-0.33087902061189883,-0.0010049255108189015,0.0019020088374459248,-0.03645049524244865,-20.0000539893102,-9.999963543690614,-0.40240191147267906,-0.0010049255108189015,0.0019020088374459248,-0.032691471234957054
2,0.10625428637979867,1.2113329458573197,-1.1787110631882143,-0.5870020310988817,64.4921568627451,-64.87818145751953,-19.998678,-9.998679,-0.44091034,-19.999397775321015,-10.000586683022872,-0.3469583155579998,0.03937283935109175,-0.03738835993549455,-0.06442726902941986,-19.99874156133183,-10.001209822355131,-0.4041438516595097,0.03937283935109175,-0.03738835993549455,-0.052258205604919776
3,0.09388440977293232,1.2109682139377207,-1.1707926434973568,-0.5665802725550719,64.4921568627451,-64.87779998779297,-19.996084,-9.996083,-0.45315868,-19.997412587223792,-10.002483402044888,-0.3590628262523767,0.07973844648234911,-0.07641478138540644,-0.09329504231525568,-19.99608361311575,-10.003756981734645,-0.4065153254825127,0.07973844648234911,-0.07641478138540644,-0.07114421469008884
4,0.048552216826099746,1.0647801978615785,-1.1273496645508894,-0.5249099695962034,64.4921568627451,-64.87659454345703,-19.99226,-9.992258,-0.46484098,-19.994163094453345,-10.005656866793597,-0.36986069887575646,0.11523111974440173,-0.11399310353710276,-0.122154193617195,-19.992242575790936,-10.007556751852547,-0.409470032605067,0.11523111974440173,-0.11399310353710276,-0.08864121367662896
5,0.09377238242988349,1.0248416519362011,-1.0920550053490095,-0.4326786150513353,64.4921568627451,-64.87460327148438,-19.987251,-9.987246,-0.475973,-19.98975270065523,-10.010063334136694,-0.38025122423275776,0.14939250814227512,-0.1503949370487364,-0.1487849674503624,-19.987262825519526,-10.012569916420839,-0.412905493744345,0.14939250814227512,-0.1503949370487364,-0.10306383417834014
6,0.0812954444314668,1.1016608220109165,-1.0412389978905974,-0.5052487528996021,64.4921568627451,-64.87186431884766,-19.981098,-9.981087,-0.48656976,-19.984160916593815,-10.015654964814924,-0.39061092691100247,0.18611453554263901,-0.18510290364508966,-0.17789051588914045,-19.981059007668104,-10.018740013209008,-0.41690234238684476,0.18611453554263901,-0.18510290364508966,-0.11990545927499355
7,0.09116481168683645,0.9789206513021426,-0.8962105265968225,-0.4751869642524085,64.4921568627451,-64.86840057373047,-19.973846,-9.973821,-0.49664545,-19.977413253936113,-10.022322956340092,-0.40107389062415294,0.2187452239193771,-0.21497658786498375,-0.20513339642802747,-19.973767500204126,-10.025905899471175,-0.4214271765451806,0.2187452239193771,-0.21497658786498375,-0.13574502475007383
8,0.06461990574205077,0.9595218988822699,-0.9311936070970583,-0.3391470267194254,64.4921568627451,-64.86427307128906,-19.965532,-9.965487,-0.50621355,-19.969588678750533,-10.03000617238398,-0.4115287607000114,0.25072928721545273,-0.24601637476821903,-0.22616401778760337,-19.965409857296944,-10.034106445296782,-0.42632884073320465,0.25072928721545273,-0.24601637476821903,-0.14704992564072134
9,0.08460152987337449,0.8915508013985997,-0.9406372057296936,-0.5128480006141789,64.4921568627451,-64.85955047607422,-19.9562,-9.95612,-0.5152871,-19.960735729842575,-10.038729294434992,-0.4218967766332866,0.2804476472620727,-0.27737094829254216,-0.2506638492203988,-19.956061602388207,-10.0433521435732,-0.4318003360330222,0.2804476472620727,-0.27737094829254216,-0.1641448589945273
10,0.10435619497544524,0.9035254942550777,-0.8222087667075941,-0.4653023604897104,64.4921568627451,-64.85424041748047,-19.945883,-9.945757,-0.52387863,-19.95088551632592,-10.04843177535958,-0.43210705580004727,0.31056516373724197,-0.3047779071827953,-0.27082834167891423,-19.945709430263634,-10.05351140714596,-0.43778883395560614,0.31056516373724197,-0.3047779071827953,-0.17965493767751764
11,0.1201043456293941,0.8938812144299358,-0.8086981336397023,-0.5233451269460705,64.4921568627451,-64.848388671875,-19.934624,-9.934432,-0.53200036,-19.94003674352666,-10.05904031567325,-0.44203084912426494,0.34036120421823984,-0.33173451163745205,-0.2900132880323909,-19.934364056789693,-10.064569224200541,-0.4443588264636857,0.34036120421823984,-0.33173451163745205,-0.19709977524238664
12,0.10150516869562233,0.7909524569252729,-0.7600003558820468,-0.4134411873605224,64.4921568627451,-64.84205627441406,-19.922457,-9.922179,-0.53966427,-19.928251952021096,-10.070520355147767,-0.45153709947093307,0.3667262861157489,-0.35706785683352027,-0.30270002889042874,-19.922139847252502,-10.076471486094992,-0.4513881980688325,0.3667262861157489,-0.35706785683352027,-0.21088114815440406
13,0.10218534715795496,0.7331995141680232,-0.6720366992662664,-0.4228872745417611,64.4921568627451,-64.83529663085938,-19.909418,-9.90903,-0.54688215,-19.915620409420477,-10.082795970764032,-0.4605110611097512,0.3911662699213497,-0.37946908014239583,-0.31312949627846753,-19.909100971588458,-10.089120455433072,-0.4588874444234702,0.3911662699213497,-0.37946908014239583,-0.22497739063912944
14,0.18451683769728594,0.7121297982827361,-0.7794583764835229,-0.4065686810239253,64.4921568627451,-64.82819366455078,-19.895544,-9.895016,-0.5536658,-19.90218590609072,-10.095877972533492,-0.4689227277698222,0.41490392986410757,-0.4054510260251799,-0.3207891153997097,-19.89527084059299,-10.102635489633911,-0.4668384337570233,0.41490392986410757,-0.4054510260251799,-0.2385296800065936
15,0.15003976185879392,0.6858298329716783,-0.6865672074282981,-0.35528022363680556,64.4921568627451,-64.82077026367188,-19.880869,-9.880167,-0.56002676,-19.887974758521377,-10.10977443296068,-0.4767387764298923,0.4377649242964968,-0.4283365996061232,-0.32489567616344445,-19.880678676449772,-10.11691337628745,-0.4751841788946173,0.4377649242964968,-0.4283365996061232,-0.25037235412782044
